,0,1,2,3,4,5,6,7,8,9
9,"('tax', 0.11356277261492326)","('accountant', 0.04971088998280525)","('income', 0.033141616627984226)","('pay', 0.030186014783995834)","('company', 0.028604884619707477)","('invoice', 0.028036647047958413)","('employee', 0.027391150068884717)","('accounting', 0.02364392052275874)","('freelance', 0.023051412611507966)","('taxation', 0.022551425162953245)"
10,"('ticket', 0.19184263260301262)","('concert', 0.08744840727578795)","('rammstein', 0.08123638399154984)","('selling', 0.05269054118706299)","('cave', 0.030955133336117463)","('nick', 0.030335155807692495)","('price', 0.028121550347605828)","('euro', 0.02749162518666158)","('eur', 0.022903034453523305)","('saku', 0.022600787256805862)"
11,"('doctor', 0.1079827084905907)","('surgery', 0.05400373253983711)","('hospital', 0.04153800169496968)","('family', 0.04104971311793808)","('clinic', 0.030461201242977763)","('speaking', 0.026771703939643142)","('dr', 0.026714227918882116)","('english', 0.022156501950584523)","('pharmacy', 0.021126269223214415)","('sick', 0.02100145154326999)"
12,"('luggage', 0.04993387047533141)","('courier', 0.043484400338822005)","('suitcase', 0.04124302673975152)","('package', 0.04094321261649875)","('parcel', 0.03849654827072333)","('omniva', 0.03809557026011097)","('delivery', 0.032336525624344706)","('ship', 0.027954257360671288)","('dhl', 0.02689337582420637)","('document', 0.02591737015009749)"
13,"('ja', 0.05690528976619116)","('ka', 0.029815934056547373)","('kui', 0.02155891537533775)","('olen', 0.019599765716835922)","('rske', 0.019211699127809567)","('kes', 0.01869907394014991)","('simon', 0.01844683832172793)","('ei', 0.018002393313257814)","('eval', 0.01775779065566442)","('ning', 0.017293910926619933)"
14,"('driving', 0.1433715153502011)","('translator', 0.0875235045200786)","('translate', 0.07079385899433414)","('license', 0.062358633338939685)","('exam', 0.06157674278716748)","('translation', 0.0486291253866166)","('theory', 0.030342951097797503)","('school', 0.029371263148884722)","('estonian', 0.029249532442153257)","('instructor', 0.02846649289020942)"
15,"('size', 0.13002857161969406)","('boot', 0.06400755160513448)","('jacket', 0.058983200726680576)","('shoe', 0.05706172139176072)","('coat', 0.04891234405932838)","('winter', 0.037472938332745696)","('black', 0.036882181626343026)","('eur', 0.03584363319886554)","('brand', 0.03390840579066907)","('price', 0.0329538232319144)"
16,"('comedy', 0.12262097829926143)","('stand', 0.08575543656637545)","('comedian', 0.07905536835780341)","('victor', 0.059854868999231425)","('heldeke', 0.05446036486870902)","('patrascan', 0.04085720458163702)","('stuse', 0.03935984551212071)","('laugh', 0.03657746046971468)","('dirty', 0.031799294262106315)","('romanian', 0.03079046618420104)"
17,"('gym', 0.07166591303851755)","('training', 0.06347856393106023)","('trainer', 0.04565281430917885)","('personal', 0.04295045459714916)","('fitness', 0.04053826222881058)","('myfitness', 0.03247489361949284)","('workout', 0.030895657329419273)","('coach', 0.02567130325127931)","('sport', 0.02532113215240282)","('weight', 0.02432295733728635)"
18,"('cake', 0.1072960618465718)","('birthday', 0.03140788368779385)","('strawberry', 0.031094182415775686)","('cream', 0.029110809707520356)","('flour', 0.02851611648236349)","('sugar', 0.02749597096452782)","('candied', 0.02737348555577662)","('milk', 0.027335222643621253)","('sweet', 0.026878360184406848)","('powder', 0.02665710622466818)"
19,"('meet', 0.03828450261724945)","('meeting', 0.031077488571676002)","('aimed', 0.030403958432352926)","('moved', 0.02669489977870965)","('event', 0.026226054555627765)","('people', 0.022956979096755016)","('meetups', 0.02119414903308685)","('series', 0.020458436770437054)","('friend', 0.018569603380346862)","('sign', 0.016838184980506127)"
20,"('estonia', 0.0688768872548726)","('lemonade', 0.03443708492411138)","('country', 0.028540339295790203)","('estonian', 0.025116103369961156)","('boing', 0.024529171853004628)","('diff', 0.024529171853004628)","('pirata', 0.024529171853004628)","('living', 0.022539022400436363)","('cumbia', 0.021844348063030976)","('latvia', 0.020624388659532793)"
21,"('iphone', 0.07883795041701386)","('monitor', 0.06068702926653532)","('laptop', 0.05573357560184282)","('screen', 0.047090237293520514)","('pro', 0.04649577917941787)","('mac', 0.04197950101538618)","('inch', 0.040717129537592475)","('macbook', 0.039490375864818815)","('keyboard', 0.03554189940145641)","('core', 0.03357831249582585)"
22,"('game', 0.08310130080731594)","('play', 0.08186834612240342)","('chess', 0.07440967978603895)","('player', 0.06023569088653717)","('futsal', 0.048029980691466675)","('football', 0.04646657480494734)","('badminton', 0.046311739375036465)","('tennis', 0.04355973739346945)","('volleyball', 0.0356447984189049)","('playing', 0.033695087001376876)"
23,"('cleaning', 0.2461621184166714)","('cleaner', 0.07157290066407175)","('service', 0.06918338978884168)","('clean', 0.058329158741319574)","('house', 0.036519938226304303)","('household', 0.03008615587782008)","('lady', 0.029757079612704608)","('deep', 0.02912940448538741)","('carpet', 0.023100612225636686)","('dusting', 0.02259248246613676)"
24,"('hair', 0.15711035434811416)","('barber', 0.06441642384689265)","('haircut', 0.05886597680806758)","('type', 0.055976012857907924)","('style', 0.053470366693662036)","('salon', 0.0525515273126959)","('hairdresser', 0.049311457942040414)","('braiding', 0.04710124830422026)","('treatment', 0.046769888244103254)","('material', 0.02988008957476667)"
25,"('electricity', 0.12441141667934627)","('boiler', 0.05289694233401301)","('energy', 0.0527621827279862)","('heating', 0.046654281254754855)","('gas', 0.03773816440591911)","('electric', 0.03278413791439749)","('price', 0.03002475442750532)","('universal', 0.026448471167006504)","('water', 0.02563195443789689)","('switch', 0.023960637293272226)"
26,"('news', 0.13758674070872684)","('accurate', 0.1317726190700556)","('worry', 0.0982879522215739)","('light', 0.08974968115146659)","('probable', 0.08546957539124732)","('jeeeezzzzz', 0.08546957539124732)","('coming', 0.08509059660163273)","('friend', 0.08495551609735023)","('thug', 0.07702758234327672)","('illuminated', 0.07702758234327672)"
27,"('photographer', 0.09488878215053337)","('photo', 0.06019129593108151)","('portrait', 0.05032812936210761)","('picture', 0.04422961921503768)","('photography', 0.04298270037949401)","('model', 0.032194742332290804)","('shoot', 0.029664586600473247)","('camera', 0.028652185877714634)","('film', 0.027997475167152376)","('profile', 0.024146338459376047)"
28,"('book', 0.14393820862207066)","('edition', 0.03493003264937136)","('dune', 0.03168968803510128)","('bookstore', 0.03168968803510128)","('read', 0.027740759326930983)","('raamat', 0.02497901230410895)","('sell', 0.02340746843119435)","('estonian', 0.02277252330198943)","('library', 0.022703132625828334)","('rahva', 0.020359807787962012)"
29,"('bolt', 0.1409716706953217)","('car', 0.07263784588175484)","('driver', 0.07085508836203275)","('rentautoest', 0.05220403755149694)","('petrol', 0.051730328453539594)","('gross', 0.049703555442036716)","('expense', 0.049598561853422915)","('salary', 0.04641292339276116)","('taxi', 0.04310860704461633)","('wolt', 0.03764684563306647)"
30,"('film', 0.09693508170788523)","('movie', 0.07246448146434308)","('screening', 0.06711021003571283)","('cinema', 0.04579019026577327)","('prus', 0.03506183410116937)","('kino', 0.03353935853701399)","('posti', 0.022901961993483568)","('watch', 0.02245137712743066)","('volunteer', 0.022024842563630076)","('short', 0.02028072748296523)"
31,"('evening', 0.08637820179250855)","('enjoy', 0.08408476639134502)","('night', 0.07721299423102623)","('thursday', 0.0729471013210741)","('tonight', 0.06278013741295875)","('tomorrow', 0.060877280097832845)","('weekend', 0.057842879114565954)","('friday', 0.05717549705470462)","('tallin', 0.055405149699024804)","('fun', 0.05275722050576542)"
